X,LOWER,PIP2,UPPER
0.239655172,1,1,1
0.487931034,1,1,1
0.751724138,1,1,1
1,0.998717949,1,1.001282051
1.248275862,0.371794872,0.4,0.428205128
1.481034483,0.412820513,0.444871795,0.476923077
1.744827586,0.473076923,0.51025641,0.547435897
1.977586207,0.535897436,0.573076923,0.61025641
2.24137931,0.592307692,0.625641026,0.658974359
2.489655172,0.626923077,0.658974359,0.691025641
2.753448276,0.65,0.680769231,0.711538462
3.001724138,0.658974359,0.692307692,0.725641026
3.25,0.658974359,0.693589744,0.728205128
3.498275862,0.652564103,0.68974359,0.726923077
3.746551724,0.65,0.687179487,0.724358974
3.994827586,0.65,0.68974359,0.729487179
4.243103448,0.643589744,0.685897436,0.728205128
4.49137931,0.646153846,0.688461538,0.730769231
4.739655172,0.637179487,0.682051282,0.726923077
5.003448276,0.633333333,0.680769231,0.728205128
5.251724138,0.637179487,0.685897436,0.734615385
5.5,0.637179487,0.685897436,0.734615385
5.748275862,0.637179487,0.688461538,0.73974359
5.996551724,0.632051282,0.684615385,0.737179487
6.244827586,0.633333333,0.687179487,0.741025641
6.493103448,0.628205128,0.680769231,0.733333333
6.74137931,0.630769231,0.687179487,0.743589744
6.989655172,0.632051282,0.68974359,0.747435897
7.253448276,0.624358974,0.680769231,0.737179487
7.501724138,0.629487179,0.687179487,0.744871795
7.75,0.628205128,0.688461538,0.748717949
7.998275862,0.624358974,0.684615385,0.744871795
8.246551724,0.620512821,0.676923077,0.733333333
8.494827586,0.617948718,0.675641026,0.733333333
8.75862069,0.619230769,0.678205128,0.737179487
8.99137931,0.621794872,0.683333333,0.744871795
9.239655172,0.620512821,0.680769231,0.741025641
9.487931034,0.616666667,0.675641026,0.734615385
9.736206897,0.611538462,0.667948718,0.724358974
10,0.61025641,0.666666667,0.723076923
10.24827586,0.612820513,0.669230769,0.725641026
