X,PI4P,PI45P2
-4.475806452,100,99.42446043
-3.326612903,100,100
-2.177419355,100,100
-3.55E-14,100,100
2.177419355,62.01438849,96.54676259
3.266129032,59.42446043,95.68345324
4.415322581,61.72661871,95.68345324
5.564516129,62.87769784,95.68345324
6.713709677,64.89208633,95.68345324
7.862903226,66.61870504,95.68345324
9.012096774,66.90647482,95.97122302
10.10080645,67.76978417,95.97122302
11.25,69.49640288,95.68345324
12.39919355,70.07194245,95.97122302
13.5483871,70.64748201,96.25899281
14.69758065,71.22302158,96.54676259
15.84677419,72.37410072,96.54676259
16.99596774,72.94964029,95.97122302
18.14516129,73.52517986,96.25899281
